type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
10,-1.1665072441101074,1.1719083786010742,0.9355565905570984,2.021829605102539,-0.29836657643318176,-0.27114367485046387,-1.208790898323059,0.4213566482067108,-1.430899739265442,-0.15355554223060608,1.1356112957000732,0.733027458190918,-0.19329001009464264,-0.52705979347229,0.696509838104248,0.39619413018226624
11,1.839078426361084,0.9196577668190002,-1.2788101434707642,2.3655855655670166,-2.212881326675415,-1.2902261018753052,-0.9314283132553101,-0.1313629299402237,-0.19837890565395355,-0.6033288240432739,-1.097379446029663,-1.3078875541687012,-0.4138168692588806,1.208474040031433,1.8969757556915283,2.195836305618286
12,-0.08828181773424149,-1.2680667638778687,-0.20541904866695404,1.3933812379837036,-2.795551061630249,-1.3388196229934692,-2.830451011657715,-0.6085253953933716,0.009582835249602795,-1.750154972076416,-0.7806850075721741,-0.6658405661582947,-1.6697109937667847,2.6151697635650635,1.0745620727539062,-0.48079773783683777
13,-0.11386383324861526,-1.318006992340088,-0.22541484236717224,1.4446648359298706,-2.857205629348755,-1.295328974723816,-2.8391644954681396,-0.5701318383216858,0.016748029738664627,-1.7568204402923584,-0.7777474522590637,-0.7258870601654053,-1.599345326423645,2.5283327102661133,1.1016141176223755,-0.43831685185432434
14,-0.06463124603033066,-1.286853313446045,-0.24468807876110077,1.3946808576583862,-2.836549997329712,-1.3110932111740112,-2.7942466735839844,-0.5859553217887878,-0.04147296026349068,-1.7812021970748901,-0.7570311427116394,-0.709750235080719,-1.6550548076629639,2.553690195083618,1.0727332830429077,-0.4643799364566803
15,-1.0876145362854004,-0.3483036160469055,-0.28603529930114746,0.17489928007125854,-0.5447710156440735,-1.3962516784667969,-1.243669033050537,0.22220295667648315,-1.1484941244125366,-1.0233417749404907,0.514187753200531,0.35557299852371216,-0.8577620983123779,0.32848018407821655,1.4227821826934814,0.33698880672454834
16,0.40498825907707214,1.2560220956802368,-1.4105167388916016,1.506670594215393,0.34009018540382385,-1.8214102983474731,0.42429500818252563,0.24909600615501404,1.3704596757888794,-1.2068344354629517,1.2706266641616821,-1.9247628450393677,0.6722044348716736,1.0520137548446655,3.383340358734131,-0.021255362778902054
17,0.42491573095321655,1.285334587097168,-1.4762369394302368,1.5778329372406006,0.32617124915122986,-1.7738596200942993,0.47834837436676025,0.31055715680122375,1.3754856586456299,-1.1747702360153198,1.2613873481750488,-1.8691989183425903,0.7388483285903931,1.0441807508468628,3.4373271465301514,-0.06774108111858368
18,0.4508255422115326,1.2244538068771362,-1.3465522527694702,1.5641703605651855,0.2678164541721344,-1.770220398902893,0.45836108922958374,0.3505150079727173,1.3843605518341064,-1.1217951774597168,1.2626659870147705,-1.8668417930603027,0.7020160555839539,1.057301640510559,3.3904361724853516,-0.023461705073714256
19,-0.15654702484607697,1.1056631803512573,0.6155480742454529,0.13178426027297974,-0.17728213965892792,-1.5959304571151733,-0.9506307244300842,0.01927092857658863,0.22617928683757782,-0.4742612838745117,-0.1578572690486908,-1.040697455406189,-0.0812111422419548,0.8718924522399902,2.202829360961914,-1.1706289052963257
20,-1.229972004890442,0.49492907524108887,-0.4422825872898102,0.6979183554649353,-0.536851704120636,-0.9143738150596619,-1.7447102069854736,-1.1339834928512573,-2.6263725757598877,-0.6684526205062866,1.1568894386291504,1.144423246383667,-1.2655746936798096,1.6744614839553833,1.1118274927139282,1.1188342571258545
21,-1.214693546295166,0.3710925877094269,-0.4225262701511383,0.7934587001800537,-0.26906272768974304,-0.8945092558860779,-1.5661749839782715,-1.0029443502426147,-2.582979679107666,-0.34252458810806274,1.158521056175232,1.014004111289978,-1.4014045000076294,1.7290043830871582,1.287695288658142,0.8897060751914978
22,-0.6028619408607483,0.6132887005805969,0.4454042613506317,1.773877501487732,0.9661295413970947,-1.5188747644424438,0.542451024055481,-0.7250335812568665,-1.4141497611999512,-0.5401966571807861,0.9993060231208801,0.060378119349479675,-0.5078116655349731,1.9308762550354004,2.2819833755493164,0.6101526618003845
23,1.44053053855896,0.5307534337043762,1.457489252090454,1.4544353485107422,-1.6792981624603271,-2.063202142715454,-0.4620794653892517,0.5723254680633545,-1.1779215335845947,-0.884543776512146,1.3909721374511719,2.19150972366333,-0.7955484986305237,0.11400344967842102,1.8692806959152222,-1.9203323125839233
24,1.4667668342590332,0.5698851346969604,1.389540433883667,1.403789758682251,-1.627614974975586,-2.036529541015625,-0.3705741763114929,0.6497094631195068,-1.1298075914382935,-0.8669164776802063,1.4355766773223877,2.1900904178619385,-0.8672721982002258,0.15291321277618408,1.921621322631836,-2.000321865081787
25,1.2222024202346802,0.2566679120063782,0.9386679530143738,1.2196097373962402,-1.7388620376586914,-2.010293483734131,-0.8049083948135376,0.2243419885635376,-1.4447382688522339,-0.6258987188339233,0.0785212591290474,1.7983390092849731,-0.2795547842979431,0.690436840057373,1.9706207513809204,-2.2576539516448975
26,-1.0346304178237915,0.2758728563785553,-0.2376110553741455,2.4931082725524902,0.023748239502310753,-0.24624454975128174,-0.7863876223564148,-1.2137571573257446,-0.010213330388069153,-1.6403882503509521,-0.651678204536438,-0.23549889028072357,0.6704041361808777,1.20514976978302,1.7979177236557007,1.5477396249771118
27,-1.3452507257461548,0.5998465418815613,-0.010413207113742828,2.3903744220733643,-0.4436950981616974,0.26088210940361023,-0.752395510673523,-1.436022162437439,-0.27269819378852844,-1.8958454132080078,-1.025689721107483,0.1702786386013031,0.6322437524795532,1.1924914121627808,1.8451229333877563,1.289201021194458
28,-0.7013991475105286,-0.3188880383968353,-0.459104061126709,0.553614616394043,-0.748220682144165,-0.28087300062179565,-1.8290767669677734,0.013158260844647884,-0.9033632874488831,-1.083113431930542,-0.4943350851535797,-0.1900714486837387,-0.08002199232578278,0.5648401975631714,2.1131443977355957,0.48888054490089417
