type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
10,-0.0515214242041111,-0.034553125500679016,0.07889489084482193,0.0011490500764921308,-0.045245930552482605,0.01106500718742609,-0.04052205756306648,0.06557562947273254,-0.10412178188562393,0.039367932826280594,-0.05093575268983841,-0.05183113366365433,0.09439296275377274,0.01759372279047966,0.09462832659482956,0.019904164597392082,0.07827231287956238,-0.04705717787146568,-0.03804132714867592,0.03396952897310257,-0.08007799834012985,-0.02377339079976082,-0.0048744892701506615,0.03035469353199005,-0.010207056999206543,-0.032287515699863434,-0.022342368960380554,-0.09506800770759583,0.003636903828009963,0.01625802181661129,-0.029984671622514725,0.020717721432447433
11,-0.06560532003641129,-0.02859645150601864,0.09846606105566025,0.018486762419342995,-0.04227884113788605,0.01764758862555027,-0.01928408071398735,0.0638015940785408,-0.08037713170051575,0.02924063429236412,-0.07061152160167694,-0.05301676318049431,0.0717606320977211,0.02163483016192913,0.07610971480607986,0.016869882121682167,0.07298722863197327,-0.06269991397857666,-0.04458972066640854,0.03278569504618645,-0.07939666509628296,-0.021147629246115685,-0.01084091141819954,0.016276363283395767,0.016340551897883415,-0.021718427538871765,-0.03582029789686203,-0.08875936269760132,0.012897230684757233,0.011545355431735516,-0.04044797271490097,0.016693146899342537
12,-0.07855065912008286,-0.03626953437924385,0.09976695477962494,0.011768708936870098,-0.042273443192243576,-0.004120952915400267,-0.015513313934206963,0.04482491686940193,-0.08553878217935562,0.03641447052359581,-0.0743207111954689,-0.052736055105924606,0.06929633766412735,0.004979175049811602,0.09771940112113953,0.02277667634189129,0.059617701917886734,-0.05147115886211395,-0.04899268224835396,0.03233102709054947,-0.08229319006204605,-0.041622016578912735,0.003421156434342265,0.02909182757139206,0.004254018887877464,-0.031113695353269577,-0.03891800716519356,-0.1104634702205658,0.00411465298384428,-0.0048303501680493355,-0.056388478726148605,0.014401876367628574
13,-0.06785312294960022,-0.034226611256599426,0.10590636730194092,0.01326935924589634,-0.04565427452325821,0.01700160652399063,-0.03182078152894974,0.06526956707239151,-0.10013089329004288,0.04434678703546524,-0.051816873252391815,-0.03292025998234749,0.07981401681900024,0.006149002816528082,0.09133094549179077,0.01856200583279133,0.08021549880504608,-0.05212510749697685,-0.05267602950334549,0.034775685518980026,-0.07263364642858505,-0.044094838201999664,-0.0027011861093342304,0.023775719106197357,0.018299151211977005,-0.02930910885334015,-0.037360429763793945,-0.09414751827716827,0.012117371894419193,0.011209523305296898,-0.05401582270860672,0.01928029954433441
14,-0.06338776648044586,-0.02900009974837303,0.09480799734592438,0.027754079550504684,-0.03693679720163345,0.021351125091314316,-0.028843073174357414,0.06509377807378769,-0.09646502882242203,0.04924744740128517,-0.07340534031391144,-0.04509047418832779,0.08676937222480774,0.020928436890244484,0.08856476843357086,0.019759157672524452,0.0776941180229187,-0.05834675580263138,-0.06210152059793472,0.02555074542760849,-0.07336880266666412,-0.027132617309689522,0.008571634069085121,0.03810321167111397,0.019084732979536057,-0.01841362565755844,-0.04696974158287048,-0.07279892265796661,0.016974400728940964,-0.011904985643923283,-0.033979304134845734,-0.0062415339052677155
15,-0.08941516280174255,-0.04995375871658325,0.10620571672916412,0.035125523805618286,-0.042120207101106644,0.00784502737224102,-0.01536524761468172,0.0610918365418911,-0.09886053204536438,0.0560910664498806,-0.05878147482872009,-0.038623273372650146,0.0953940600156784,-0.005013967398554087,0.09917180985212326,0.02285672537982464,0.08492088317871094,-0.043516937643289566,-0.04090040549635887,0.03668330982327461,-0.08384820073843002,-0.03740176931023598,-0.0013135215267539024,0.02446584589779377,0.011962711811065674,-0.012766331434249878,-0.04878061264753342,-0.09450342506170273,0.013144548051059246,0.012224256992340088,-0.03870095685124397,0.001602141885086894
16,-0.09234430640935898,-0.03503181040287018,0.10596680641174316,0.027669744566082954,-0.059238266199827194,0.012371737509965897,-0.03663161024451256,0.045584242790937424,-0.11484608799219131,0.04376440495252609,-0.06054949387907982,-0.06625417619943619,0.09449970722198486,0.012281441129744053,0.09968721866607666,0.025375349447131157,0.07928289473056793,-0.0631873607635498,-0.045697372406721115,0.03624604642391205,-0.08528715372085571,-0.05414709076285362,-0.0038780902978032827,0.04703940823674202,-0.010159717872738838,-0.04317498952150345,-0.025322016328573227,-0.08371138572692871,0.022518068552017212,0.011777089908719063,-0.04319499805569649,-0.005562298931181431
17,-0.07996698468923569,-0.04930355027318001,0.10088399797677994,0.025511769577860832,-0.04442109540104866,0.0020434195175766945,-0.02430589869618416,0.05070741847157478,-0.09831292927265167,0.0598989799618721,-0.07645711302757263,-0.03227381408214569,0.08233305811882019,0.007700473535805941,0.09044168889522552,0.011712911538779736,0.08573435246944427,-0.04012628272175789,-0.06870018690824509,0.03865770250558853,-0.08921527862548828,-0.028533287346363068,-0.014527713879942894,0.014499268494546413,-0.002779365750029683,-0.018753444775938988,-0.0437738299369812,-0.09751929342746735,0.017458710819482803,0.016466926783323288,-0.04054589942097664,0.005273300223052502
18,-0.07834570854902267,-0.048809755593538284,0.10172733664512634,0.008370667695999146,-0.05365242063999176,-0.0018885756144300103,-0.02769262157380581,0.04809672385454178,-0.11101183295249939,0.0580504909157753,-0.05897005647420883,-0.04996825382113457,0.10490252077579498,0.0075803352519869804,0.08917165547609329,0.036126166582107544,0.06725730001926422,-0.05993882194161415,-0.046032462269067764,0.05596524104475975,-0.07728776335716248,-0.02602377161383629,-0.005747467279434204,0.014573987573385239,0.014734863303601742,-0.036505408585071564,-0.04735841602087021,-0.10175535827875137,0.013658098876476288,0.0023436725605279207,-0.05734798684716225,-0.0018339406233280897
19,-0.08314711600542068,-0.056540146470069885,0.0893932431936264,0.030708272010087967,-0.06254351139068604,0.012999468483030796,-0.013901714235544205,0.052768856287002563,-0.08581765741109848,0.03752535954117775,-0.05671411380171776,-0.036304645240306854,0.10612673312425613,0.01734417863190174,0.09180352091789246,0.009373602457344532,0.09658361226320267,-0.05441676452755928,-0.07264745980501175,0.05520555004477501,-0.10231779515743256,-0.023394646123051643,-0.01107384730130434,0.046905267983675,0.000542056339327246,-0.02613089792430401,-0.038374342024326324,-0.10348287969827652,0.0009129427489824593,-0.005254529416561127,-0.047162629663944244,-0.007001438178122044
