"sparse weighted graph embedding,"
295,-3.330461,-0.83719814
296,0.026778065,-0.035494138
297,-0.12050286,-0.03625555
298,-0.0001400446,-0.09774605
299,-0.2374627,-0.004381324
300,-0.10706612,0.10438023
301,0.09848391,0.04189123
302,-0.23037274,0.1196866
303,-4.42589,-1.0892066
304,-4.445193,-1.0813712
305,-4.4487443,-1.0891589
306,-4.4560356,-1.0959582
307,-4.5041203,-1.1164911
308,-4.4828577,-1.0994425
309,-4.487661,-1.0989827
310,-4.5003986,-1.1097378
311,-4.5072703,-1.1114373
312,-4.5411453,-1.1017065
313,-4.5539165,-1.1196095
314,-4.5690637,-1.119536
315,-4.5744305,-1.1370239
316,-4.5919704,-1.1416736
317,-4.308346,-1.0577317
318,-4.129031,-1.0291989
319,-3.7283912,-0.9353435
320,-3.6826098,-0.91639316
321,-3.6888678,-0.93705404
322,-3.7001655,-0.9241065
323,-3.5867832,-0.89302075
324,-3.5891771,-0.89816076
325,-3.382611,-0.83972985
326,-3.3798528,-0.81707513
327,-3.4081914,-0.8566626
328,-3.3921711,-0.85507023
329,-3.4049885,-0.86099654
330,-3.3962278,-0.858838
331,-3.3556097,-0.8441496
332,-3.3532667,-0.8349806
333,-3.3673513,-0.83873636
334,-3.3694267,-0.8291919
335,-3.389473,-0.8440996
336,-3.3877537,-0.85690254
337,-3.2536771,-0.82317716
338,-3.266892,-0.8244106
339,-3.2456458,-0.8227735
340,-3.343441,-0.8478349
341,-3.401622,-0.84730613
342,-3.403599,-0.8594977
343,-3.4291275,-0.86441195
344,-3.4352791,-0.85871255
345,-3.4538252,-0.86024445
346,-3.445008,-0.86788034
347,-3.3323212,-0.863175
348,-3.3461258,-0.83823687
349,-3.3255582,-0.84263325
350,-3.3603525,-0.85991925
351,-3.3722544,-0.85216546
352,-3.312849,-0.84550697
353,-3.2667644,-0.8360216
354,-3.3105333,-0.8198188
355,-3.3422158,-0.8336842
356,-3.416303,-0.84668064
357,-3.3510957,-0.83454067
358,-3.2397683,-0.812072
359,-3.2406137,-0.8123336
360,-3.3122547,-0.8220612
361,-3.2996452,-0.8298551
362,-3.442004,-0.8564297
363,-3.4638157,-0.8659145
364,-3.4898381,-0.8503874
365,-3.442539,-0.8501945
366,-3.438149,-0.8516349
367,-3.3768272,-0.8388324
368,-3.5136137,-0.8723654
369,-3.464889,-0.8563095
370,-3.4724371,-0.87015694
371,-3.4655726,-0.8676531
372,-3.453951,-0.8604098
373,-3.6095548,-0.90401816
374,-4.0115,-1.0105385
375,-4.0561094,-1.018482
376,-4.131037,-1.046353
377,-4.1577573,-1.0559837
378,-3.876396,-0.9825847
379,-3.9190862,-0.99053603
380,-3.9941983,-1.0051419
381,-3.9984112,-1.020449
382,-4.004711,-1.0149322
383,-3.9752052,-1.0130877
384,-4.060987,-1.0322644
385,-4.070185,-1.0229392
386,-3.901383,-0.9834365
387,-3.9098532,-0.987412
388,-3.9445512,-0.9976534
389,-3.872349,-0.9732158
390,-3.8410957,-0.983903
391,-3.8400714,-0.97258663
392,-3.4687483,-0.8482894
393,-3.4337654,-0.87413585
394,-3.6069887,-0.8916793
395,-3.7723894,-0.9335778
396,-3.7630055,-0.93501514
397,-3.9289544,-0.9548462
398,-3.6438758,-0.89574945
399,-3.6188803,-0.8895495
400,-3.5859442,-0.88967264
401,-3.5926058,-0.8831148
402,-3.5715528,-0.881447
403,-3.5260313,-0.8938062
404,-3.5150664,-0.8793337
405,-3.5642002,-0.88954216
406,-3.6678677,-0.8914469
407,-3.496313,-0.8582513
408,-3.5319364,-0.8765629
409,-3.5436666,-0.8757056
410,-3.4604638,-0.85539526
411,-3.4698036,-0.880142
412,-3.3716836,-0.838272
413,-3.1894946,-0.79050016
414,-3.152888,-0.78020436
415,-3.2265348,-0.7952365
416,-3.232568,-0.8102296
417,-3.2231104,-0.7862763
418,-3.2384312,-0.8057065
419,-3.182344,-0.78588265
420,-3.1581054,-0.7893697
421,-3.1058252,-0.7648237
422,-3.0664728,-0.7761827
423,-3.1854355,-0.7969213
424,-3.0977905,-0.775839
425,-3.0853722,-0.7741941
426,-3.093022,-0.7775326
427,-3.0765746,-0.757802
428,-3.0687892,-0.77016693
429,-3.162106,-0.78343976
430,-3.1583822,-0.801771
431,-3.1084778,-0.7779919
432,-3.0365899,-0.749276
433,-2.8935783,-0.71954745
434,-2.824368,-0.7187624
435,-2.8463442,-0.71991277
436,-2.7832994,-0.69830835
437,-2.8080628,-0.7104917
438,-2.8100178,-0.70661396
439,-2.772836,-0.7045236
440,-2.8546257,-0.7077747
441,-2.8530498,-0.7115212
442,-2.7193038,-0.6889419
443,-2.7221708,-0.69584143
444,-2.7121656,-0.6932557
445,-2.7619395,-0.72036517
446,-2.762588,-0.7170565
447,-2.7848973,-0.7100338
448,-2.7332551,-0.69493276
449,-2.7243087,-0.69932204
450,-2.7955897,-0.7097682
451,-2.86058,-0.7353779
452,-2.873422,-0.7318877
453,-2.9359164,-0.7459855
454,-2.9400916,-0.7399064
455,-2.920542,-0.75161976
456,-2.9179866,-0.74242365
457,-2.9261138,-0.7401892
458,-2.9597192,-0.76339936
459,-2.9118905,-0.7454021
460,-2.8860087,-0.7337976
461,-2.9810166,-0.7580722
462,-3.0140584,-0.7532081
463,-3.0071728,-0.7615736
464,-2.9304907,-0.75564206
465,-2.9558666,-0.7554919
466,-2.9409645,-0.7496385
467,-2.9742413,-0.7656697
468,-3.0343404,-0.7727383
469,-3.0786877,-0.7714984
470,-3.2171783,-0.81122583
471,-3.3173192,-0.83619565
472,-3.3868983,-0.8437961
473,-3.3536015,-0.83071053
474,-3.3652856,-0.8339841
475,-3.2579434,-0.82844985
476,-3.2267308,-0.815637
477,-3.1993475,-0.80781704
478,-3.1931279,-0.8061438
479,-3.3436856,-0.83970535
480,-3.3618867,-0.8268624
481,-3.4374092,-0.86375445
482,-3.4212997,-0.8595298
483,-3.437726,-0.8609964
484,-3.3745956,-0.83260936
485,-3.4565966,-0.84560823
486,-3.4475803,-0.85769546
487,-3.5100667,-0.87225807
488,-3.5504873,-0.8540105
489,-3.5508003,-0.8852638
490,-3.5707166,-0.8660128
491,-3.5072403,-0.87131613
492,-3.5648658,-0.88540727
493,-3.5802689,-0.88521355
494,-3.5874405,-0.8779613
495,-3.5228431,-0.8603
496,-3.6193185,-0.89458185
497,-3.6266897,-0.8996875
498,-3.492101,-0.86864996
499,-3.5956414,-0.90235424
500,-3.602508,-0.89744
501,-3.7191436,-0.9168354
502,-3.8523383,-0.9432657
503,-3.851602,-0.9555776
504,-3.867548,-0.9575653
505,-3.7125027,-0.9178652
506,-3.7200177,-0.91236544
507,-3.5899029,-0.8850176
508,-3.5877287,-0.88574415
509,-3.4686475,-0.87431747
510,-3.5161023,-0.8708306
511,-3.534056,-0.8713106
512,-3.7362623,-0.9178475
513,-3.7256076,-0.9200501
514,-3.7493749,-0.90514284
515,-3.7576716,-0.90681916
516,-3.6023097,-0.89518744
517,-3.5177042,-0.8594423
518,-3.2619858,-0.82486016
519,-3.331846,-0.8218621
520,-3.2727947,-0.82057554
521,-3.3052804,-0.8266198
522,-3.2881076,-0.8222929
523,-3.1951969,-0.81529444
524,-3.1723309,-0.79027677
525,-3.163172,-0.81194293
526,-3.2018173,-0.8018357
527,-3.200594,-0.78663427
528,-3.2066681,-0.8121896
529,-3.2218544,-0.81333905
530,-3.0372717,-0.7624175
531,-3.0800853,-0.75604236
532,-3.0637891,-0.7579723
533,-3.1016684,-0.7846719
534,-3.1286638,-0.7842356
535,-3.13034,-0.787357
536,-3.0815697,-0.7889672
537,-2.8918188,-0.7451181
538,-2.8950264,-0.7467676
539,-2.8976476,-0.74449843
540,-2.9057815,-0.7394226
541,-2.8058953,-0.71529824
542,-2.8265734,-0.7360286
543,-2.8338218,-0.73996466
544,-2.8933072,-0.7523317
545,-2.8662782,-0.7280672
546,-2.9237976,-0.7454754
547,-2.8654861,-0.7440553
548,-2.8676307,-0.7368881
549,-2.8688867,-0.74282163
550,-2.8863153,-0.74397653
551,-2.887197,-0.7414016
552,-2.8311558,-0.7210865
553,-2.8376067,-0.7330872
554,-2.763257,-0.7178252
555,-2.8260453,-0.71797734
556,-2.7765136,-0.7186934
557,-2.829117,-0.7258277
558,-2.8569658,-0.7325849
559,-2.8058276,-0.7135094
560,-2.8543775,-0.73323625
561,-2.855774,-0.7205366
562,-2.86591,-0.7280203
563,-2.877187,-0.73588103
564,-2.7803297,-0.7236725
565,-2.710979,-0.7065626
566,-2.7841644,-0.7148119
567,-2.8763628,-0.7221367
568,-2.865587,-0.7273326
569,-2.8586957,-0.729629
570,-2.790682,-0.69944453
571,-2.7936676,-0.6936853
572,-2.7743583,-0.702592
573,-2.7710328,-0.70884264
574,-2.8493657,-0.73716974
575,-2.8515413,-0.72087437
576,-2.8263075,-0.7217768
577,-2.821944,-0.71573323
578,-2.7864645,-0.70268035
579,-2.728196,-0.7047791
580,-2.675307,-0.6901279
581,-2.6802022,-0.7055739
582,-2.715342,-0.70401967
583,-2.6897752,-0.691442
584,-2.753704,-0.7044668
585,-2.7886364,-0.70040196
586,-2.7292492,-0.71226436
587,-2.6693373,-0.7063566
588,-2.646588,-0.70149815
589,-2.7004313,-0.71867543
590,-2.7739077,-0.7162454
591,-2.820497,-0.7297142
592,-2.7102919,-0.7050247
593,-2.7118886,-0.70825154
594,-2.703301,-0.71598923
595,-2.6927001,-0.7152716
596,-2.6989067,-0.7101254
597,-2.7126582,-0.6983187
598,-2.6495373,-0.6761196
599,-2.651791,-0.69639754
600,-2.6076024,-0.6796121
601,-2.7020433,-0.70593786
602,-2.7887812,-0.71836793
603,-2.76558,-0.7020902
604,-2.7598894,-0.7246322
