"sparse weighted graph embedding,"	,"
8280,-2.410164,-0.6590199	,-2.0653496,-0.0013662056
8281,-2.443215,-0.6797493	,-2.0638773,0.020709943
8282,-2.4151564,-0.6688048	,-2.060399,0.038506836
8283,-2.392245,-0.6576545	,-2.0509264,0.0060742586
8284,-2.4476833,-0.64793015	,-2.1006286,0.009638515
8285,-2.4726398,-0.6674422	,-2.134217,0.012404815
8286,-2.3689706,-0.63669574	,-2.176029,0.0055766385
8287,-2.3950515,-0.6481048	,-2.2156112,0.014729939
8288,-2.4421034,-0.6564246	,-2.2500708,-0.009350658
8289,-2.4535716,-0.63770896	,-2.1930604,0.02282795
8290,-2.501921,-0.65760356	,-2.217755,0.0042168307
8291,-2.5759962,-0.66547054	,-2.243406,0.019534271
8292,-2.7064512,-0.7052536	,-2.3419807,0.03193322
8293,-2.636661,-0.6773745	,-2.3058274,0.026778432
8294,-2.5952363,-0.6724195	,-2.280523,0.024662772
8295,-2.5339174,-0.66375434	,-2.2420673,0.0054687182
8296,-2.6350152,-0.68910486	,-2.299837,0.021438053
8297,-2.6605775,-0.70250213	,-2.282052,0.02207406
8298,-2.6620812,-0.70137566	,-2.2604713,0.0022786602
8299,-2.6532013,-0.67531556	,-2.326289,-0.0119731175
8300,-2.6601744,-0.68974006	,-2.3370035,0.008258594
8301,-2.6133626,-0.6892018	,-2.342275,0.010007308
8302,-2.5423627,-0.66258556	,-2.3508816,0.012800518
8303,-2.6087706,-0.68053323	,-2.3231652,-0.0006699059
8304,-2.6245723,-0.69566905	,-2.309049,-0.0057719457
8305,-2.627722,-0.6813426	,-2.273745,0.021606136
8306,-2.6820846,-0.72022223	,-2.328355,0.020841895
8307,-2.6191442,-0.6817374	,-2.3300135,0.026923398
8308,-2.6425521,-0.6963369	,-2.308071,-0.0014271268
8309,-2.657538,-0.7021274	,-2.2898324,0.022837592
8310,-2.604719,-0.6870762	,-2.2908673,0.01205825
8311,-2.6113014,-0.6975403	,-2.3372936,-0.0026183366
8312,-2.626796,-0.6983381	,-2.3556063,0.028248636
8313,-2.5837455,-0.696686	,-2.3634927,0.02208159
8314,-2.6473286,-0.70988137	,-2.3042428,0.0067070397
8315,-2.7758958,-0.7609894	,-2.3126833,0.010390215
8316,-2.7774389,-0.7635719	,-2.3207614,0.024542026
8317,-2.7072802,-0.716872	,-2.318641,0.021129778
8318,-2.6480467,-0.7131273	,-2.3133714,0.0033807713
8319,-2.5939002,-0.6962077	,-2.3850276,-0.007925153
8320,-2.643298,-0.69991297	,-2.3594966,-0.00046999368
8321,-2.5997007,-0.6849705	,-2.3605657,0.005091873
8322,-2.548163,-0.68082654	,-2.3620825,-0.009474434
8323,-2.6078827,-0.69091827	,-2.3852453,0.002022576
8324,-2.591777,-0.6701379	,-2.402472,-0.011460147
8325,-2.6481984,-0.7012652	,-2.53593,-0.023201788
8326,-2.666817,-0.70086765	,-2.45776,-0.044594284
8327,-2.6121008,-0.6934476	,-2.4651153,-0.033110775
8328,-2.6457381,-0.69509816	,-2.3842542,-0.0076198936
8329,-2.655048,-0.69815236	,-2.4047658,-0.0065923706
8330,-2.654158,-0.7006607	,-2.4154773,-0.010489093
8331,-2.7416513,-0.7106055	,-2.4185393,-0.0216078
8332,-2.6938255,-0.71345055	,-2.4116058,-0.0076906057
8333,-2.698813,-0.716265	,-2.4028957,0.0035771013
8334,-2.7620077,-0.7372761	,-2.4387505,0.002461533
8335,-2.7526035,-0.73313206	,-2.4458928,-0.025578097
8336,-2.721746,-0.7132196	,-2.432425,-0.03248143
8337,-2.698264,-0.71786284	,-2.393049,-0.037922606
8338,-2.6951969,-0.7184838	,-2.4572942,-0.037900936
8339,-2.7854483,-0.7422923	,-2.4550483,-0.027656388
8340,-2.856614,-0.74846476	,-2.4494708,-0.021349423
8341,-2.863693,-0.7509277	,-2.4481847,-0.016527433
8342,-2.854014,-0.7633685	,-2.4710393,0.0021086833
8343,-2.8373005,-0.73267037	,-2.4714015,-0.022063829
8344,-2.9314027,-0.7624076	,-2.5028179,-0.040988706
8345,-3.0578623,-0.7995547	,-2.5658107,-0.048737783
8346,-3.0619948,-0.79659265	,-2.594599,-0.052769233
8347,-3.0863254,-0.7981762	,-2.569975,-0.034489762
8348,-3.1018224,-0.8195473	,-2.557087,2.6392547e-05
8349,-3.0936203,-0.81102556	,-2.5563567,-0.03163166
8350,-3.2112176,-0.8434972	,-2.5562022,-0.046870276
8351,-3.21297,-0.8421485	,-2.5494976,-0.023164509
8352,-3.2178829,-0.84206945	,-2.5594988,-0.024057616
8353,-3.2307956,-0.85938185	,-2.5706346,-0.017618196
8354,-3.1428456,-0.83294076	,-2.5803454,-0.021804458
8355,-3.117929,-0.8110385	,-2.635582,-0.052440718
8356,-3.1458018,-0.8216197	,-2.6136868,-0.047856003
8357,-3.0954306,-0.7997249	,-2.6672087,-0.03219978
8358,-3.181055,-0.8221012	,-2.6952412,-0.0021290772
8359,-3.215479,-0.8321918	,-2.7114012,-0.046885505
8360,-3.2313015,-0.8273683	,-2.8729901,-0.09193454
8361,-3.2821436,-0.8462892	,-2.8529675,-0.047816537
8362,-3.3116252,-0.85474527	,-2.8405802,-0.059470624
8363,-3.2646928,-0.8404811	,-2.8293974,-0.06885692
8364,-3.2627258,-0.84443974	,-2.764815,-0.057472304
8365,-3.3514805,-0.8615918	,-2.7861896,-0.081539184
8366,-3.2591133,-0.8400518	,-2.8507216,-0.0985407
8367,-3.2690833,-0.84243226	,-2.8536289,-0.09262603
8368,-3.2466905,-0.83353114	,-2.9230108,-0.08183385
8369,-3.2737467,-0.8412331	,-2.9654849,-0.09050432
8370,-3.280946,-0.82688314	,-2.990943,-0.10957749
8371,-3.291489,-0.84130096	,-2.9830074,-0.110595785
8372,-3.2963893,-0.8368587	,-3.0878332,-0.13512737
8373,-3.3106272,-0.8386816	,-2.9714801,-0.07800209
8374,-3.3280184,-0.85199946	,-2.9828215,-0.08587058
8375,-3.399821,-0.8675123	,-2.8562598,-0.077249475
8376,-3.4008424,-0.87661004	,-2.834759,-0.08890316
8377,-3.4205117,-0.86773294	,-2.8628094,-0.10292307
8378,-3.3144858,-0.8593531	,-2.7795384,-0.07258733
8379,-3.316574,-0.8609022	,-2.7928782,-0.08590897
8380,-3.3849554,-0.88519734	,-2.7717059,-0.084471725
8381,-3.343716,-0.8699598	,-2.7636786,-0.0689768
8382,-3.354974,-0.87257683	,-2.7961879,-0.098777495
8383,-3.371166,-0.87641877	,-2.8066,-0.06817921
8384,-3.284688,-0.861613	,-2.7742949,-0.07260582
8385,-3.228304,-0.8391676	,-2.7279205,-0.05470054
8386,-0.04705576,0.01016027	,-0.04705576,0.01016027
8387,-0.18229242,-0.093926154	,-0.18229242,-0.093926154
8388,0.09326878,0.14498085	,0.09326878,0.14498085
8389,-0.16480127,-0.18987973	,-0.16480127,-0.18987973
8390,-4.0604753,-1.0005467	,0.08711224,0.05909565
8391,-4.034605,-0.9981929	,-0.1730861,-0.13228327
8392,-4.2961683,-1.073665	,-0.0183523,0.17775176
8393,-4.3135557,-1.0835911	,-0.020017756,0.21923275
8394,-4.318542,-1.078976	,-3.11324,-0.12424719
8395,-4.313353,-1.0725511	,-3.1118412,-0.11715143
8396,-4.3297906,-1.0895962	,-3.1237288,-0.093413904
8397,-4.3262024,-1.0814193	,-3.1264071,-0.1119186
8398,-4.372435,-1.0898091	,-3.1440196,-0.1182048
8399,-4.362734,-1.0841081	,-3.1437566,-0.090895124
8400,-4.3660827,-1.0958123	,-3.140995,-0.08659579
8401,-4.3991747,-1.0954325	,-3.138675,-0.08163401
8402,-4.4036164,-1.105595	,-3.156804,-0.12124628
8403,-4.425751,-1.1015625	,-3.1547127,-0.06894436
8404,-4.2475734,-1.0729783	,-3.170802,-0.12404067
8405,-4.2428336,-1.0793891	,-3.1670625,-0.11963959
8406,-4.2547426,-1.0746454	,-3.174737,-0.13466536
8407,-4.1214175,-1.0354397	,-3.0916193,-0.08530319
8408,-4.1169066,-1.0509504	,-3.0871742,-0.091934815
8409,-3.5267844,-0.91057926	,-2.9310412,-0.09579004
8410,-3.3950758,-0.88865715	,-2.8535473,-0.06695292
8411,-3.410135,-0.885054	,-2.8613796,-0.06349909
8412,-3.3321612,-0.8524472	,-2.8539221,-0.072191596
8413,-3.2763999,-0.8402136	,-2.7405312,-0.06685369
8414,-3.2725291,-0.83736575	,-2.711735,-0.04687146
8415,-3.2220888,-0.828112	,-2.7050774,-0.066106685
8416,-3.2030606,-0.8441919	,-2.6573007,-0.056560274
8417,-3.2033913,-0.85580105	,-2.6188805,-0.052618675
8418,-3.13249,-0.83652866	,-2.6378825,-0.04511897
8419,-3.1766813,-0.8437684	,-2.6428618,-0.023357596
8420,-3.1829886,-0.84119266	,-2.6196434,-0.020827113
8421,-3.1495876,-0.83156484	,-2.6194942,-0.057203755
8422,-3.0724978,-0.83783305	,-2.580463,-0.003183646
8423,-3.1228771,-0.8301491	,-2.583525,-0.012777714
8424,-3.1295571,-0.83503425	,-2.6062036,-0.02640317
8425,-3.053826,-0.8244918	,-2.5716634,-0.021033093
8426,-3.0873134,-0.82757306	,-2.5619898,-0.026020901
8427,-3.105189,-0.8242818	,-2.5748396,-0.056033917
8428,-3.2222102,-0.8632406	,-2.5770905,-0.011840161
8429,-3.2331831,-0.86082083	,-2.5480852,-0.01428898
8430,-3.2386491,-0.8780774	,-2.5405574,-0.018667273
8431,-3.2384176,-0.8790463	,-2.5382507,-0.045479402
8432,-3.2568164,-0.8781431	,-2.5840995,-0.06796922
8433,-3.2625372,-0.8737863	,-2.5727365,-0.04798405
8434,-3.1930223,-0.8460996	,-2.6086361,-0.007716656
8435,-3.1863155,-0.8563242	,-2.6097255,-0.0030027905
8436,-3.224722,-0.8680461	,-2.589477,-0.03836324
8437,-3.2274768,-0.8758187	,-2.660061,-0.011119454
8438,-3.2020857,-0.8538024	,-2.6616218,-0.008198664
8439,-2.9997,-0.7890472	,-2.6824558,-0.04137533
8440,-3.0086946,-0.7989137	,-2.6992428,-0.045989994
8441,-3.0626082,-0.813359	,-2.6935592,-0.05430826
8442,-3.0639763,-0.79981774	,-2.6836193,-0.013547303
8443,-2.9897647,-0.7867929	,-2.6965501,-0.0169767
8444,-2.9746766,-0.7769769	,-2.686896,-0.034814056
8445,-2.9970403,-0.7781792	,-2.6879313,-0.04032285
8446,-3.118836,-0.795215	,-2.7442517,-0.02193112
8447,-3.1989033,-0.8253786	,-2.8001742,-0.06938128
8448,-3.1392083,-0.8072942	,-2.7085335,-0.029663267
8449,-3.1518273,-0.8196722	,-2.6868203,-0.01923598
8450,-3.1654005,-0.8244677	,-2.7406192,-0.029858127
8451,-3.1859138,-0.83224887	,-2.8630846,-0.06558621
8452,-3.3039393,-0.84683543	,-2.8720098,-0.0063088457
8453,-3.3883257,-0.8558897	,-2.8771796,-0.07234678
8454,-3.3395743,-0.85595876	,-2.9111857,-0.05633826
8455,-3.390449,-0.8713837	,-2.8140423,-0.045598038
8456,-3.4096985,-0.8831575	,-2.9237983,-0.052009977
8457,-3.3011107,-0.86223006	,-2.9772644,-0.09239086
8458,-3.3394742,-0.85508513	,-3.027654,-0.09723157
8459,-3.406468,-0.88586533	,-3.0400436,-0.07759919
8460,-3.4150023,-0.8856674	,-3.035806,-0.07594279
8461,-3.3632586,-0.8708008	,-3.0390093,-0.061191283
8462,-3.4545991,-0.9118835	,-3.0759118,-0.07241744
8463,-3.4861908,-0.9095289	,-3.0772462,-0.054546077
8464,-3.4309936,-0.8963535	,-3.072305,-0.05811708
8465,-3.483009,-0.9154455	,-3.1731017,-0.099132866
8466,-3.388911,-0.8822243	,-3.165922,-0.10694405
8467,-3.4454527,-0.8913526	,-3.1741242,-0.09961412
8468,-3.3744438,-0.88538456	,-3.097229,-0.092362806
8469,-3.2211175,-0.84781045	,-3.1564486,-0.0789243
8470,-3.2927198,-0.86212516	,-3.100782,-0.07978525
8471,-3.247197,-0.8628287	,-3.056008,-0.084878765
8472,-3.264056,-0.8525443	,-3.0580213,-0.080914095
8473,-3.1901186,-0.8365141	,-3.0077677,-0.06565315
8474,-3.1361036,-0.83623785	,-3.0097272,-0.07422206
8475,-3.2491062,-0.86626744	,-3.0188284,-0.06790153
8476,-3.280817,-0.8851819	,-3.0552878,-0.063490935
8477,-3.2183874,-0.8660067	,-3.0575023,-0.058727004
8478,-3.2296002,-0.8603661	,-3.066989,-0.026098793
8479,-3.2196836,-0.8500275	,-3.1343288,-0.06400532
8480,-3.2952101,-0.8732953	,-3.1440897,-0.08105706
8481,-3.369628,-0.893349	,-3.1451273,-0.11135192
8482,-3.174723,-0.8534427	,-3.1559258,-0.084965974
8483,-3.1397395,-0.82849306	,-3.0955293,-0.05138242
8484,-3.2159436,-0.8533341	,-3.0050576,-0.06047083
8485,-3.2075827,-0.8466681	,-3.0108712,-0.08451962
8486,-3.2380292,-0.860954	,-3.019759,-0.05375907
8487,-3.2603412,-0.8625653	,-2.9494016,-0.056460835
8488,-3.1638346,-0.8346031	,-2.955674,-0.09026833
8489,-3.1562269,-0.82961744	,-2.787359,-0.071434036
8490,-3.1267354,-0.82862526	,-2.7949975,-0.051529963
8491,-3.11234,-0.815041	,-2.7935045,-0.039932918
8492,-3.1656356,-0.83268243	,-2.813068,-0.044193823
8493,-3.104287,-0.80177355	,-2.805089,-0.013885318
8494,-3.0997036,-0.80505496	,-2.7528174,-0.018075367
8495,-3.1269403,-0.8282839	,-2.714158,-0.013476598
8496,-3.0791962,-0.8073487	,-2.7157497,-0.026161067
8497,-2.9934392,-0.7813047	,-2.6699562,0.005455831
8498,-3.0615995,-0.7898376	,-2.7011497,-0.011509846
8499,-3.0191998,-0.80603737	,-2.6687334,-0.022005618
8500,-3.0123186,-0.8006087	,-2.653172,-0.027980458
8501,-3.0752265,-0.82089925	,-2.6361504,-0.005942219
8502,-3.0908868,-0.8245292	,-2.679495,-0.005563078
8503,-2.8951006,-0.768727	,-2.621433,-0.0073530828
8504,-2.894468,-0.7597536	,-2.6163752,-0.026087195
8505,-2.9593532,-0.77161413	,-2.6014524,-0.008826477
8506,-2.9618013,-0.79271716	,-2.604709,-0.015230438
8507,-2.9791863,-0.80651355	,-2.5902102,0.012526365
8508,-3.030398,-0.8109638	,-2.6362789,0.008800462
8509,-3.0439098,-0.81468797	,-2.62901,0.009856213
8510,-3.054046,-0.7990585	,-2.6784658,-0.004517516
8511,-3.052326,-0.80135727	,-2.684934,-0.026422016
8512,-3.078258,-0.8009225	,-2.6979563,-0.036572244
8513,-3.0685878,-0.81304365	,-2.6930735,-0.015682936
8514,-3.0164793,-0.7919472	,-2.6290195,-5.8241603e-05
8515,-2.9586704,-0.7844712	,-2.5803463,0.01724797
8516,-2.9346657,-0.7531449	,-2.5981328,0.031149866
8517,-2.930773,-0.76125526	,-2.541004,0.022311151
8518,-2.9301176,-0.7658632	,-2.550364,4.3620523e-05
8519,-2.892702,-0.7576784	,-2.5477214,0.021814575
8520,-2.9100394,-0.75855595	,-2.6151314,0.015964767
8521,-2.9153445,-0.7752739	,-2.5929143,0.033690613
8522,-2.92183,-0.75955707	,-2.5734851,0.023210272
8523,-2.841584,-0.7346559	,-2.5691292,0.0032122945
8524,-2.821339,-0.7390445	,-2.6330495,0.018622937
8525,-2.8744361,-0.7574195	,-2.6097076,0.00273867
8526,-2.9094815,-0.7586435	,-2.6003351,-0.017401734
8527,-2.9305978,-0.76487947	,-2.5863764,0.0010021459
8528,-2.8625019,-0.7563851	,-2.5438929,0.028003786
8529,-2.8171551,-0.7282504	,-2.5854297,0.025440056
8530,-2.8596206,-0.74935	,-2.6727612,0.016886054
8531,-2.8799086,-0.73926693	,-2.6622205,0.014742552
8532,-2.9433374,-0.7606372	,-2.7696466,-0.022010801
8533,-2.8840337,-0.73863244	,-2.6131914,0.03462662
8534,-2.9075987,-0.75583047	,-2.6336377,0.008756695
8535,-2.8592114,-0.7321822	,-2.5912719,0.017988889
8536,-2.8945534,-0.76482224	,-2.5735297,0.019906096
8537,-2.8142729,-0.73405933	,-2.4972575,0.03606011
8538,-2.7349072,-0.72508216	,-2.4853344,-0.018126281
8539,-2.6935532,-0.72114396	,-2.4783359,0.024604598
8540,-2.7862072,-0.7359769	,-2.5418549,0.029864244
8541,-2.8071563,-0.74232554	,-2.5198152,0.026833417
8542,-2.8374002,-0.7556154	,-2.5336263,0.03637526
8543,-2.8276167,-0.7579227	,-2.5420134,0.029091416
8544,-2.7453003,-0.7306445	,-2.4999533,0.03545271
8545,-2.7471511,-0.7371264	,-2.5087132,-0.00016468795
8546,-2.7839909,-0.74962956	,-2.5177736,0.0227965
8547,-2.7021463,-0.71992844	,-2.510955,0.024559887
8548,-2.705491,-0.7135144	,-2.5180964,0.03681079
8549,-2.6995676,-0.7100474	,-2.4839542,0.024135118
8550,-2.6390853,-0.6966782	,-2.5719767,0.025909359
8551,-2.6593223,-0.7132363	,-2.4280057,0.044615008
8552,-2.7249913,-0.713024	,-2.4309878,0.020588817
8553,-2.619469,-0.69259	,-2.39123,0.036331933
8554,-2.622754,-0.6880619	,-2.4146252,0.031012565
8555,-2.5528882,-0.6897011	,-2.3403828,0.047473975
8556,-2.5357294,-0.6817211	,-2.4124792,0.025090838
8557,-2.6010036,-0.6860892	,-2.4184592,0.04000714
8558,-2.6070762,-0.6980378	,-2.4280782,0.0023582762
8559,-2.5864215,-0.6852563	,-2.3837795,0.044590186
8560,-2.6672933,-0.7180128	,-2.3476691,0.0536976
8561,-2.6308305,-0.71366405	,-2.3650882,0.01684239
8562,-2.436051,-0.64532864	,-2.2849975,0.053105365
8563,-2.4738765,-0.66878676	,-2.2148232,0.061028477
8564,-2.4694848,-0.6583775	,-2.212041,0.07510434
8565,-2.4261076,-0.6490371	,-2.2298725,0.06569157
8566,-2.4063315,-0.6510959	,-2.2457254,0.05875786
8567,-2.3692951,-0.644004	,-2.1982026,0.029891593
8568,-2.385539,-0.6451814	,-2.2896414,0.05205737
8569,-2.325111,-0.62626445	,-2.2401245,0.06391751
8570,-2.3437445,-0.64233273	,-2.2350209,0.05180681
8571,-2.34707,-0.64374995	,-2.236518,0.061307155
8572,-2.3458614,-0.63506514	,-2.2352285,0.04028784
8573,-2.297851,-0.6214245	,-2.1931138,0.051582865
8574,-2.3437512,-0.62288344	,-2.1440816,0.05434321
8575,-2.3977664,-0.6545308	,-2.2398405,0.033368014
8576,-2.446925,-0.6561516	,-2.283665,0.035354972
8577,-2.4955072,-0.67189693	,-2.2711887,0.040559325
8578,-2.479514,-0.6603317	,-2.26098,0.019366756
8579,-2.4834201,-0.6646829	,-2.2488947,0.029139912
8580,-2.4576538,-0.65337896	,-2.2517385,0.023527123
8581,-2.4295168,-0.64503485	,-2.187741,0.02929716
8582,-2.3626604,-0.6255477	,-2.1291268,-0.0068249926
8583,-2.2767677,-0.63266546	,-2.0368774,0.033617668
8584,-2.2480266,-0.61457205	,-2.0299907,0.020639306
8585,-2.2068658,-0.60927796	,-2.0276058,0.035977095
8586,-2.2318575,-0.60369074	,-2.0061595,0.029689854
8587,-2.2038734,-0.594317	,-1.9907141,0.040511698
8588,-2.1915464,-0.5910494	,-2.0266318,0.046888087
8589,-2.1884437,-0.5946316	,-2.050214,0.011228409
8590,-2.2696311,-0.6148873	,-2.0860953,0.024365574
8591,-2.2919242,-0.62728703	,-2.0200055,0.015829843
8592,-2.324984,-0.63566947	,-2.011023,0.040869422
8593,-2.3324592,-0.62448555	,-2.0231438,0.03880406
8594,-2.2308002,-0.61600226	,-1.9458731,0.038274974
8595,-2.2117102,-0.6057393	,-1.9446454,0.020878961
8596,-2.20714,-0.59911776	,-1.958773,0.033371203
8597,-2.1937983,-0.5955441	,-1.9866239,0.04396892
8598,-2.1839712,-0.5989594	,-1.9959205,0.05533471
8599,-2.2671905,-0.5933186	,-2.0741963,0.032037973
8600,-2.2958262,-0.6047781	,-2.1209724,0.030608695
8601,-2.2906988,-0.6166411	,-2.115401,0.034226157
8602,-2.2433977,-0.5969052	,-2.0186818,0.03143345
8603,-2.2675562,-0.60227054	,-2.0441353,0.04327137
8604,-2.3087647,-0.6174204	,-2.0541723,0.015653342
8605,-2.313522,-0.64002687	,-2.046783,0.032962188
8606,-2.302151,-0.6309915	,-2.0513127,0.03781105
8607,-2.2305017,-0.5990038	,-2.0137475,0.038718898
8608,-2.1859248,-0.602274	,-2.0147228,0.033122912
8609,-2.272066,-0.592285	,-2.1422844,0.046424694
8610,-2.2821472,-0.6188842	,-2.0750144,0.04626091
8611,-2.312837,-0.6064857	,-2.077394,0.046852898
8612,-2.3091295,-0.60818636	,-2.0685086,0.039206956
8613,-2.3375483,-0.61851794	,-2.1074066,0.04076643
8614,-2.3287084,-0.6115924	,-2.1035173,0.06252973
8615,-2.3816166,-0.62058014	,-2.1024365,0.03724247
8616,-2.3843853,-0.6222664	,-2.1213882,0.05371677
8617,-2.3774688,-0.62611943	,-2.1630418,0.038720816
8618,-2.3725383,-0.62487847	,-2.1802545,0.0438528
8619,-2.3647878,-0.6288999	,-2.2546065,0.026745645
8620,-2.3852127,-0.61971164	,-2.3519056,0.010387358
8621,-2.4798865,-0.62971115	,-2.3126838,0.036594883
8622,-2.533459,-0.6544688	,-2.302886,0.043789662
8623,-2.5389261,-0.65365964	,-2.3129642,0.04562457
8624,-2.5050745,-0.64671206	,-2.325809,0.029599028
8625,-2.5240366,-0.65997285	,-2.3536346,0.028742477
8626,-2.5314252,-0.6620069	,-2.3407488,0.017233668
8627,-2.5645223,-0.6747351	,-2.3285382,0.023144275
8628,-2.5304923,-0.66204655	,-2.2620187,0.01569299
8629,-2.5135906,-0.6599941	,-2.3101208,0.051123373
8630,-2.4850748,-0.6591505	,-2.2670093,0.05882662
8631,-2.513749,-0.6563532	,-2.3477771,0.0047015343
8632,-2.5452764,-0.6574581	,-2.3123295,0.024975043
8633,-2.6116567,-0.67837584	,-2.3413389,0.010756377
8634,-2.5632923,-0.6731263	,-2.3258467,0.023900252
8635,-2.6299417,-0.6830808	,-2.3839357,0.026402092
8636,-2.6283925,-0.6807956	,-2.396752,0.004606813
8637,-2.642689,-0.69901943	,-2.417127,0.03562328
8638,-2.6922052,-0.7056716	,-2.4358697,0.009401149
8639,-2.6719124,-0.693285	,-2.506363,0.004628312
8640,-2.6310105,-0.6907316	,-2.4426029,0.021442743
8641,-2.6409497,-0.6885494	,-2.4054778,0.0041481005
8642,-2.6448636,-0.6898057	,-2.4144058,0.01560344
8643,-2.6015434,-0.6815377	,-2.3701904,0.01416279
8644,-2.6449153,-0.6936712	,-2.3796291,0.017633755
8645,-2.6313043,-0.67812604	,-2.4247324,0.013189678
8646,-2.5463448,-0.6718743	,-2.422447,0.019909447
8647,-2.5939145,-0.6871321	,-2.3965056,0.029652407
8648,-2.5705378,-0.6804527	,-2.3809853,0.033182636
8649,-2.5856092,-0.6854487	,-2.36942,0.02765701
8650,-2.5706007,-0.68009555	,-2.3331325,0.045748826
8651,-2.5088418,-0.6581751	,-2.2944415,0.060324173
8652,-2.4888902,-0.65771526	,-2.2666383,0.041769072
8653,-2.447889,-0.65320146	,-2.2972426,0.043386165
8654,-2.4826524,-0.6627972	,-2.328918,0.034168072
8655,-2.478926,-0.6624681	,-2.2708323,0.06315233
8656,-2.5183215,-0.66506016	,-2.3080206,0.013288206
8657,-2.6406994,-0.69949985	,-2.3727715,0.02760308
8658,-2.6554232,-0.6926505	,-2.3589628,0.04577031
8659,-2.6012437,-0.68999326	,-2.3637667,0.051014364
8660,-2.6543186,-0.6983223	,-2.3323996,0.027037837
8661,-2.7421885,-0.7145141	,-2.391432,0.0073049706
8662,-2.7485352,-0.72212946	,-2.3639183,0.019343415
8663,-2.7978277,-0.71046895	,-2.4476414,0.01673682
8664,-2.7945354,-0.7178537	,-2.4570496,0.010713659
8665,-2.841541,-0.737891	,-2.4789677,0.008131777
8666,-2.796531,-0.73652256	,-2.44928,-0.018685658
8667,-2.805343,-0.7341272	,-2.5168443,0.015808063
8668,-2.7983837,-0.7327637	,-2.5170255,0.012269858
8669,-2.8141978,-0.73825	,-2.514212,0.00094740593
8670,-2.8014164,-0.74615246	,-2.5201716,0.0064956946
8671,-2.92348,-0.7645225	,-2.5247142,0.014645592
8672,-2.9986684,-0.78969985	,-2.570535,0.021359315
8673,-2.9043179,-0.7488269	,-2.5744505,0.020264361
8674,-2.840018,-0.7349894	,-2.5933208,-0.0020966653
8675,-2.8904724,-0.75532734	,-2.6008031,0.02078819
8676,-2.95297,-0.75988275	,-2.6617637,-0.013851382
8677,-3.1013088,-0.80182195	,-2.6606612,-0.01775841
8678,-3.0422807,-0.79285747	,-2.588312,-0.014328881
8679,-2.951733,-0.75469446	,-2.5530558,-0.002368141
8680,-3.175453,-0.81354225	,-2.6490612,0.00046724745
8681,-3.1879225,-0.83273566	,-2.6476574,0.0038689664
8682,-3.1848538,-0.8181698	,-2.68809,-0.019242302
8683,-3.3175437,-0.8511327	,-2.818144,-0.010191866
8684,-3.3070457,-0.8487256	,-2.80946,-0.017737033
8685,-3.364457,-0.8676143	,-2.8262918,-0.034013573
8686,-3.3877153,-0.86728	,-2.8272464,-0.026888277
8687,-3.314857,-0.8358873	,-2.8271468,-0.025792506
8688,-3.4055903,-0.853109	,-2.8923893,-0.015751472
8689,-3.4714773,-0.8861311	,-2.8938816,-0.023822688
8690,-3.5619226,-0.8988472	,-2.8924036,-0.013288836
8691,-3.584689,-0.9210078	,-2.901853,-0.034069248
8692,-3.5902858,-0.9142612	,-2.895887,-0.013692405
8693,-3.558631,-0.91228235	,-2.90217,-0.001136555
8694,-3.5807214,-0.89900386	,-2.9150355,-0.018410932
8695,-3.7810786,-0.9618192	,-2.9590235,-0.030031532
8696,-3.9078314,-0.98961645	,-2.9586568,-0.039534822
8697,-3.9257455,-0.99429715	,-2.9655867,-0.038136356
8698,-3.8759313,-0.9944058	,-2.9741886,-0.043960776
8699,-3.8888865,-0.9924353	,-2.9746869,-0.024336046
8700,-3.7549555,-0.96600956	,-2.9841976,-0.01670083
8701,-3.833512,-0.9895064	,-2.9997501,-0.06686061
8702,-4.098249,-1.0359852	,-3.0002632,-0.055233788
8703,-4.102512,-1.0458823	,-2.9818785,-0.032924052
8704,-3.820876,-0.9685094	,-3.0577097,-0.059944462
8705,-3.82327,-0.9641491	,-3.0641897,-0.034748476
8706,-3.6814191,-0.9289516	,-3.112626,-0.060221
8707,-3.6830542,-0.93343276	,-3.1190274,-0.057735696
8708,-3.7021234,-0.93510157	,-3.1214087,-0.06430914
8709,-3.7704613,-0.94766575	,-3.1211088,-0.059669197
8710,-3.8699265,-0.9784291	,-3.139727,-0.047473826
8711,-4.1803455,-1.0590049	,0.033945285,0.18641527
8712,-4.2027826,-1.0615469	,-0.011871816,-0.17585
8713,-4.1833262,-1.0627972	,0.046963148,0.029663485
8714,-4.1069026,-1.0394772	,-0.07048056,0.019088974
8715,-4.271926,-1.0811973	,-0.19939423,0.074255295
8716,-4.090204,-1.042732	,0.035062607,0.15069541
8717,-4.374596,-1.1243334	,-3.2497098,-0.06924826
8718,-4.3810415,-1.1218646	,-3.2385879,-0.079916455
8719,-4.391807,-1.1077397	,-3.2121766,-0.05725529
8720,-4.4197955,-1.122646	,-3.2285333,-0.083092615
8721,-4.146815,-1.0563011	,-3.2587829,-0.04337187
8722,-4.429194,-1.1311566	,-3.2761495,-0.042106375
8723,-4.4497313,-1.1367295	,-3.267209,-0.01457562
8724,-4.0949087,-1.0486435	,-3.2739048,-0.022111598
8725,-4.4148865,-1.1424984	,-3.28314,-0.07294612
8726,-4.427885,-1.1286111	,-3.2935288,-0.06927705
8727,-4.09069,-1.0523565	,-3.3060586,-0.05396288
8728,-4.411916,-1.1401091	,-3.3179703,-0.061106507
